Humidity3pm,Humidity9am,Location,MaxTemp,MinTemp,Month,Pressure3pm,Pressure9am,Rainfall,Temp3pm,Temp9am,WindDir3pm,WindDir9am,WindGustDir,WindGustSpeed,WindSpeed3pm,WindSpeed9am,RainToday,RainTomorrow,TempRange,HumidityDiff,PressureDiff,Season,SeasonName
22.0,71.0,2.0,22.9,13.4,12,1007.1,1007.7,0.6000000000000001,21.8,16.9,14.0,13.0,13.0,44.0,24.0,20.0,0.0,0,9.499999999999998,-49.0,-0.6000000000000227,1,Summer
25.000000000000004,44.0,2.0,25.1,7.4,12,1007.8,1010.6,0.0,24.3,17.2,15.0,6.0,14.0,44.0,22.0,3.9999999999999982,0.0,0,17.700000000000003,-18.999999999999996,-2.800000000000068,1,Summer
30.0,38.0,2.0,25.7,12.9,12,1008.7,1007.6,0.0,23.2,21.0,15.0,13.0,15.0,46.0,26.0,19.0,0.0,0,12.799999999999999,-8.0,1.1000000000000227,1,Summer
16.0,45.0,2.0,28.0,9.2,12,1012.8,1017.6,0.0,26.5,18.1,0.0,9.0,4.0,24.0,9.0,11.0,0.0,0,18.8,-29.0,-4.800000000000068,1,Summer
33.0,82.0,2.0,32.3,17.5,12,1006.0,1010.8,1.0,29.7,17.8,7.0,1.0000000000000009,13.0,41.0,20.0,7.0,0.0,0,14.799999999999997,-49.0,-4.7999999999999545,1,Summer
23.0,55.0,2.0,29.7,14.6,12,1005.4,1009.2,0.20000000000000018,28.9,20.6,13.0,13.0,14.0,56.0,24.0,19.0,0.0,0,15.1,-32.0,-3.800000000000068,1,Summer
19.0,49.0,2.0,25.0,14.3,12,1008.2,1009.6,0.0,24.6,18.1,13.0,12.0,13.0,50.0,24.0,20.0,0.0,0,10.7,-30.0,-1.3999999999999773,1,Summer
19.0,48.0,2.0,26.7,7.7,12,1010.1,1013.4,0.0,25.5,16.3,13.0,10.0,13.0,35.0,17.0,6.0,0.0,0,19.0,-29.0,-3.2999999999999545,1,Summer
9.0,42.0,2.0,31.9,9.7,12,1003.6,1008.9,0.0,30.2,18.3,7.0,9.0,6.0,80.0,28.0,7.0,0.0,1,22.2,-33.0,-5.2999999999999545,1,Summer
27.0,58.0,2.0,30.1,13.1,12,1005.7,1007.0,1.4,28.2,20.1,10.0,8.0,13.0,28.0,11.0,15.0,1.0,0,17.0,-31.0,-1.2999999999999545,1,Summer
